0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
I tried the lime/pasley rice,but will forego it for just meat & veg next,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
but hits the pocketbook hard at $10/burrito,I have tried chicken burritos ,and chicken soft tacos at Chipotle,The chicken itself seemed higher quality than Ana's ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- this location is the ONLY food place open,They make a serviceable burrito,then I suggest getting a chicken burrito with the grilled,if someone's buying you lunch and price isn't an issue, veggies and guacamole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I know food prices are rising,And the food - the burrito was terrible,It's exactly like if you took any one of Boston's familiar burrito joints ,I repeat ONE DOLLAR FIFTY for just a spoonful of guacamole on your burrito,it's a  burrito shack (they have tacos ,45 minute  crawl on 93 North 7 days a week to get to a decent burrito than waste a single, The other review I read mentioned the same thing - how do you make a fresh cold burrito right on the dot at dinner time, I had a surprisingly good late night burrito made by a Chinese,and an equally good one at another burrito joint in Burlington,so it's definitely possible to recreate good burritos anywhere by anyone,taco salad,jacked the prices through the roof,the rice ,"""chicken mole",and beans were tasteless,the meats were bland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I literally was there for over an hour to get 1 single burrito bowl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Second time I got food poisoning from this place,It tasted great,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The rice was undercooked the guacamole was brown like it had been sitting out since last week and over all the food was not good,They also need to clean there counters where they make the food off more often,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I've never seen a smaller burrito bowl before,This chipotle is awful,but can't quit chipotle,Regularly out of key ingredients (cheese,) and most recently despite not being out of ingredients they were incredibly stingy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My burrito yesterday was the smallest burrito I've ever had at any chipotle,I love chipotle ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Typically it's because the food is only mediocre for what you pay for ,another lady was waiting for food to be re-done,The gal serving up food was literally slopping the ingredients into the bowl ,No wonder a couple people had issues with their food,Almost $17 for two chicken/rice bowls,I place my order but then they run out of chicken,seriously over 5 minutes pass and still no chicken,Other's are waiting for chicken,It was nearly $2 extra to receive a small plop of guacamole on my meal,I asked for no sour cream or cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Great food as always,but when I sat down with my wife to eat the food I couldn't enjoy the food because the smell was so strong,I worked in food services for four ,That affected the way they served our food,- We waited about 10-12 minutes for our turn to get food,I noticed one of the staff who were helping wrap burritos,pull her pants up (while having her gloves on) and proceeded to continue serving and wrapping burritos with the SAME GLOVES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I come here on a regular basis and the food is consistently good,I'd recommend the barbacoa burrito bowl with all of the fixings (except guacamole because one scoop is about 25% of the price of the bowl),I've noticed that the chicken is usually overcooked ,they won't drain your beans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
But the food is still amazing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The food is prepared with love ,If you're not already familiar with Chipotle's food offerings,and I never feel like they're just slapping the burrito together,I'm not usually a fan of burritos,My favorite is their tender chicken burrito on that yummy, tortilla with corn salsa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haven't been to Chipotle since the food contamination issues,The food was tasty,with our food ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 We were all impressed with the quality ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
food was still bomb as hell,Got me a chicken burrito ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sad excuse for Mexican food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the food was still great,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I have never been to a chipotle where I got something I was unhappy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All I ever get is the veggie burrito,rice,Its pretty standard- black beans,anything that's not meat,lettuce,corn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
As I order my food I spoke to the server for one item she gave me another item ,The tables and floors was little dirty look like the security guard was trying to clean the place but in all it still a nice place to eat for the price,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Just a typical chipotle,everything looks and tastes amazing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I ordered Guacamole and chips,The chips that I still got were unbelievably stale,I was told the guacamole wasn't ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the food is tasty,but the food is well worth the five minutes that you'll interact with the staff,the staff is a bit rid and I've was played by paying for a side a guac until I found out that it was included with the veggie tacos,Along with the increase in price there seemed to be a decrease of tequila in every glass,You can have your salad topped with beans,salsa ,I also recommend getting a salad with a side of chips if you're a nacho,meat,and cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
which is a little bit pricier than a regular burrito ,The guy who was adding a few items and then rolling it for me almost messed up my burrito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I get double of everything with half and half meat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not to mention that NOBODY can seem to wrap a burrito,I've never gotten a burrito that didn't have to be rewrapped,This is a pretty bad chipotle,"My friends and I call it ""the worst chipotle in the WORLD"" ",but the portions are weird- like they'll give you a tiny bit of rice ,One time I actually counted the pieces of chicken I got ,and an assload of beans,or an assload of salsa with a tiny,I've also noticed that sometimes the chips are all crushed or they're stale, bit of lettuce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
There was also something off about the food ,it wasn't bad food,and it didn't taste like the average chipotle,but I eat at a chipotle a few,I will visit chipotle again ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
When I don't feel like driving to my FAVORITE chipotle location on South Lamar I'll st,Like all chipotle's they skimp on the portions ,and you have to ask for more rice or beans,Every time I've come here I noticed their chicken ,But most of all quit burning the chicken ,and bell peppers always taste burnt and their ingredients have little,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quality was usually consistent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 But how about this guacamole cup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 I am not usually a big fan of chain restaurants and I'm not a big fan of the whole giant burrito pseudo Mexican food thing, There was no way anyone should eat the whole thing- it was a lot of food, I noticed that they avoid chemical stuff in food , I had a burrito bowl- i don't know why it is called a burrito bowl,There is not a HUGE selection of items that you can have added to a burrito/,taco/, It had lime cilantro rice (it was bright, bowl ,and black beans as well as the hot, salsa, The hot salsa was really great, I had guacamole,) and the guacamole was not super,cheese, It tasted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Half a scoop of chicken for three tacos, I came home and there was 3 tiny little pieces in one of my tacos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
food was ,Last week I ordered a burrito on line with guacamole,and when I got to my meeting there was no guacamole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a burrito,The burrito broke,I ordered a bowl,The bowl was the only,and chips ,Paid extra for steak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
enjoy chipotle a lot,Only negative is how expensive guacamole is getting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The food is always on point ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
We come here often but ONLY because we like the food,Really too bad because the food is good,I would give the food a 4 star ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chipotle's Mexican Grill offers excellent customer service and tasty Mexican food that will definitely 'hit the spot,I've never been dissatisfied with the quality of the food,and split a burrito with a friend,Special props for the outstanding guacamole- now if they can only lighten up on the salt for their chips,""" The ingredients are consistently fresh",placing strong emphasis on making sure the ingredients consistently meet customer expectations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The food is good,lol like you asking for them to give you more food (to make it an ACTUAL serving size) is going to come out of their own,food is fine,I like chipotle ,I've never had many negative thoughts about chipotle ,but tonight at the ponce location I ordered a bowl and got basically half a scoop of rice & half a scoop of chicken,yet was charged full price,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No chicken or steak at around 1pm what the hell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The stuff does not give a damn about the way they make the burrito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
When I've ordered online My food is ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The food is as good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The only negative thing that I could give chipotle is that the customer service discrepancy between locations,There is literallly nothing better that chicken and rice for me,Most of the time I get the salad bowl with carnitas,green salsa,corn salsa,mild salsa ,Everything works well and tastes delicious,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bad bland food ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
if they messed up your burrito aka break the tortilla whilst wrapping it,if we see that airbubble at the bottom of the burrito burst,"""just a little sour cream please"" the burrito maker always disregards what I am saying ",instead i end up getting 3 fat scoops in turn making my burrito not only destined to pop,any skilled burrito maker should know this,I'd get free burritos for going so much,in Eugene I recognized one of the old managers from the Beaverton one and he hooked me up with a free burrito,but any less would be unfair to the rest of the good chipotles' out there,They do this not only for sour cream,I like to get sour cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The chicken is always so fatty,Chipotle SERIOUSLY needs to trim the fat and gristle off their meat,and the steak is often inedible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Let her get a taste of the magnificent burritos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I teetered between 3 and 4 stars and decided on 4 because I do like the taste of the food ,tortilla on burrito is not heated,guac on a burrito is $1,and $8 for a burrito (steak burrito with guac) at a fast,burrito was strangely spicy,the rice,What I don't like: Tortilla chips are not free,The steak,I think the steak at Chipotle is of better quality than the steak at Moe's (2nd best) ,sour cream is a free,All the ingredients seem very fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the price is right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
It was incredibly slow and they were stingy with the food,I love chipotle,this chipotle was alright,Skip the guacamole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My only complaint is that the corn salsa is freezing cold, which tastes really weird,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
you walk up the counter and decide if you want a burrito,I order three Chicken soft chicken tacos every time ,tacos,You can add rice,or bowl,meat (chicken,beans,steak,lettuce,corn,just doesn't taste right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The food is always delicious,I have been here dozens of times over the years and the only qwalm I have is the old manager Ryan is no longer there after being there for years and keeping it better than it is now but whatever still food is always good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
It doesn't do Chipotle any good talking about their philosophy of food ,"""If you don't want chicken go to the head of the line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The one starting the burrito did not even know which meat was which, Both the rice ,and pinto beans were hard and the chicken was fat,They were our of chips and salsa 2 hours before closing too,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The food has always been good,the next time the cover for the bowl can barely be closed ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great service love the food the quality,It's the only Chipotle on the area that knows how to cook the food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
so little putting burritos together,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Usually bowls or burritos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My favorite burrito at any Mexican,the meat is flavorful, The ingredients are fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Love the veggie bowl,one & only time I got some chicken it was poorly trimmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The food was delicious,I would go out of my way to come to this chipotle only because the employees have got to be the friendliest people I have ever experience in Boston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
They always stuff your burrito full,One of my favorite chipotle locations,So delicious,Always fresh and delicious,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Worst experience at a chipotle ever,Barely 1 scoop of rice in the bowl ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Go spend it at a place that cares about the food,and really high prices,prices should be rock bottom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
She's bad for business and bad for chipotle,no longer terrorizing the chipotle clients,and rice,"Maybe you gave me a little too much barbacoa but now I'm eating a ""half steak"" bowl since there's practically no barbacoa left on my bowl",the next person who ordered barbacoa got contaminated meat from being on a different bowl next,beans,I had asked for half steak,She serves the steak , to the steak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
:( Sometimes I get a burrito with chicken or steak ,And sometimes I get all those ingredients in a bowl ,black beans,pinto beans,medium salsa,and eat it with chips,and guacamole,cheese,sour cream,corn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The food is alright,especially when there's a Moe's RIGHT DOWN the street w/ similar food,especially when I can go to almost ANY other Mexican food place in Atlanta ,I ordered a chicken burrito which was so huge,Chipotle charges for chips and salsa,and get free (and sometimes unlimited) chips and salsa,There's no salsa bar either,I would've loved to drown it all in as much salsa as I wanted to,Without enough salsa however,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thanks Chipotle for helping to broaden my palette in the early 2000's when the authentic Mexican food scene in CBUS was far less accessible,last time the burrito bowl was a little,get a bowl and ask for burrito wraps or taco,If you've never had a grapefruit Izzy its delicious,Margarita+Large cup+Grapefruit soda=Paloma(kinda) also delicious,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
and we were really happy with the food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The food is very greasy,The food itself has a good,Not awful food,so I ended up throwing away 2/3 of my burrito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I'd rather stick with chinese food atleast it will get me full,This is how much meat you get ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
